,Name,Address,City,State,Zip,rating
206,STARBUCKS WEST-END PLAZA AT SDSU,"SAN DIEGO STATE UNIVERSITY, 92182-1701",SAN DIEGO,CA,92182,2
207,AREA 51 AT SDSU,"SAN DIEGO STATE UNIVERSITY, 92182-1701",SAN DIEGO,CA,92182,2
208,CULINARY THEATER AT SDSU,"SAN DIEGO STATE UNIVERSITY, 92182-1701",SAN DIEGO,CA,92182,2
209,THE DINING ROOM AT SDSU,"SAN DIEGO STATE UNIVERSITY, 92182-1701",SAN DIEGO,CA,92182,2
210,JUICE IT UP EAST COMMONS AT SDSU,"SAN DIEGO STATE UNIVERSITY, 92182-1701",SAN DIEGO,CA,92182,3
211,SO-CAL CHICKEN AT SDSU,"SAN DIEGO STATE UNIVERSITY, 92182-1701",SAN DIEGO,CA,92182,2
212,VINNIE'S PIZZA AND PASTA BAR AT SDSU,"SAN DIEGO STATE UNIVERSITY, 92182-1701",SAN DIEGO,CA,92182,2
215,AVENUES: THE WORLD SCHOOL,259 10TH AVENUE,NEW YORK,NY,10001,2
216,ROCKHURST HIGH SCHOOL,9301 STATELINE ROAD,KANSAS CITY,MO,64114,2
217,THE BISTRO AT TRINITY COLLEGE,120 VERNON ST,HARTFORD,CT,6106,3
218,CARDIGAN MOUNTAIN SCHOOL,62 ALUMNI DRIVE,CANAAN,NH,3741,1
219,MALONE DINING HALL AT THE WESTMINSTER SCHOOLS,1424 WEST PACES FERRY ROAD NW,ATLANTA,GA,30327,2
220,TRINITY SCHOOL,139 WEST 91ST STREET,NEW YORK,NY,10024,3
221,FRIENDS ACADEMY,270 DUCK POND ROAD,LOCUST VALLEY,NY,11560,2
222,GREENWICH ACADEMY,200 NORTH MAPLE AVENUE,GREENWICH,CT,6830,2
223,COMPTON CAFE AT THE MORRIS ARBORETUM OF THE UNIVERSITY OF PENNSYLVANIA,9414 MEADOWBROOK AVENUE,PHILADELPHIA,PA,19118,3
226,SANTINA,820 WASHINGTON STREET,NEW YORK,NY,10014,2
227,STERLING AFFAIR CATERING & EVENTS,100 COMMERCE ROAD,CARLSTADT,NJ,7072,2
228,BRUIN PLATE AT UCLA,251 CHARLES YOUNG DRIVE WEST,LOS ANGELES,CA,90095,4
229,ARCTIC CAFE AT DETROIT ZOO,8450 WEST TEN MILE ROAD,ROYAL OAK,MI,48068,3
230,SANTORINI GREEK ISLAND GRILL AT UCSD,"PRICE CENTER STUDENT UNION, 9700 GILMAN DRIVE, P M B 222",LA JOLLA,CA,92093,1
232,VIEJAS ARENA AT SDSU,"SAN DIEGO STATE UNIVERSITY, 5500 CANYON CREST DR",SAN DIEGO,CA,92182,2
233,OPEN AIR THEATER AT SDSU,"SAN DIEGO STATE UNIVERSITY, 5500 CAMPANILE DRIVE",SAN DIEGO,CA,92182,2
234,TONY GWYNN STADIUM AT SDSU,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,92182,2
235,UNIVERSITY TOWERS KITCHEN AT SDSU,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,92182,2
236,FACULTY STAFF CLUB AT SDSU,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,92182-1701,2
237,THE HIVE AT BLACK HILLS STATE UNIVERSITY,1200 UNIVERSITY STREET,SPEARFISH,SD,57799,3
238,MEEZ MEALS,1459 ELMWOOD AVENUE,EVANSTON,IL,60201,3
239,LENNIE'S,1795 E. 10TH STREET,BLOOMINGTON,IN,47408,3
240,TUSKERS AT RIVERBANKS ZOO,500 WILDLIFE PARKWAY,COLUMBIA,SC,29210,3
241,MARIE'S FLEUR DE LIS CATERING,4846 MAGAZINE STREET,NEW ORLEANS,LA,70115,3
242,CREEKSIDE RESTAURANT,157151 HWY 101,FORKS,WA,98331,3
243,CATERING BY MICHAELS,6203 PARK AVENUE,MORTON GROVE,IL,60053-2363,3
244,KENYON INN RESTAURANT AT KENYON COLLEGE,100 W. WIGGIN STREET,GAMBIER,OH,43022,3
245,PEIRCE DINING HALL AT KENYON COLLEGE,201 COLLEGE PARK STREET,GAMBIER,OH,43022,3
246,TAMO,ONE SEAPORT LANE,BOSTON,MA,2110,3
247,BUZZ SHACK AT BLACK HILLS STATE UNIVERSITY,1200 UNIVERSITY STREET,SPEARFISH,SD,57799,3
248,EPISCOPAL HIGH SCHOOL,1200 N QUAKER LANE,ALEXANDRIA,VA,22302,2
249,THE BEASTRO AT UTAH'S HOGLE ZOO,2600 EAST SUNNYSIDE AVENUE,SALT LAKE CITY,UT,84108,3
250,SHORELINE GRILL AT UTAH'S HOGLE ZOO,2600 EAST SUNNYSIDE AVENUE,SALT LAKE CITY,UT,84108,3
251,ENGRAINED AT GRAND VALLEY STATE UNIVERSITY,4152 CALDER DRIVE,ALLENDALE,MI,49401,3
252,CORCORAN CATERERS,2401 MONTGOMERY STREET,SILVER SPRING,MD,20910,3
253,A LA CARTE CATERING,6608 JAMES MADISON HIGHWAY,HAYMARKET,VA,20169,1
254,THE ANNEX KITCHEN,2257 WEST SHAW AVENUE,FRESNO,CA,93711,2
255,FRENCH BROAD CHOCOLATES,10 S. PACK SQUARE,ASHEVILLE,NC,28801,3
256,C4C DINING AT CU-BOULDER,"HOUSING & DINING SERVICES, C4C N170K, UCB 159",BOULDER,CO,80309,3
257,GRAND DEPOT CAFE,233 NORTH GRAND CANYON BOULEVARD,WILLIAMS,AZ,86046,3
258,THE PURPLE ONION,16 MAIN STREET,SALUDA,NC,28773,3
259,AROOGAS ROUTE 422,637 E. MAIN STREET,HUMMELSTOWN,PA,17036,1
260,AROOGAS ROUTE 32,32 SANDY DESERT ROAD,UNCASVILLE,CT,6382,1
261,BOSTON UNIVERSITY SCHOOL OF LAW CAFE,765 COMMONWEALTH AVE,BOSTON,MA,2215,3
262,BOSTON UNIVERSITY WEST CAMPUS FRESH FOOD CO.,275 BABCOCK STREET,BOSTON,MA,2215,3
263,BOSTON UNIVERSITY FRESH FOOD CO. AT WARREN TOWERS,700 COMOMNWEALTH AVENUE,BOSTON,MA,2215,3
264,FOUNDING FARMERS TYSONS,"1800 TYSONS BLVD, SUITE 70",MCLEAN,VA,22012,3
267,THE MARSHAL,628 10TH AVENUE,NEW YORK,NY,10036,3
268,TASTE OF THE WILD CATERING AT UTAH'S HOGLE ZOO,2600 EAST SUNNYSIDE AVENUE,SALT LAKE CITY,UT,84108,2
269,CAFE DE BOSTON,75 FEDERAL STREET,BOSTON,MA,2110,3
270,HABIT BURGER AT SDSU,"AZTEC STUDENT UNION, 5500 CAMPANILE DRIVE",SAN DIEGO,CA,92182,2
271,STATE & ALLEN KITCHEN + BAR,2400 ALLEN STREET,DALLAS,TX,75204,2
272,HOLLOWAY COMMONS AT UNIVERSITY OF NEW HAMPSHIRE,75 MAIN STREET,DURHAM,NH,3824,3
273,PHILBROOK DINING HALL AT UNIVERSITY OF NEW HAMPSHIRE,29 MCDANIEL DRIVE,DURHAM,NH,3824,3
274,STILLINGS DINING HALL AT UNIVERSITY OF NEW HAMPSHIRE,20 BALLARD STREET,DURHAM,NH,3824,3
275,DAIRY BAR AT UNIVERSITY OF NEW HAMPSHIRE,3 DEPOT ROAD,DURHAM,NH,3824,3
276,BELLAGREEN WOODLANDS,"2501 RESEARCH FORREST DRIVE, SUITE E",WOODLANDS,TX,77381,3
277,THE CHEESE CORNER,323 SOUTH MAIN ST.,VIROQUA,WI,54665,1
278,TABOR ACADEMY,215 FRONT ST,MARION,MA,2738,2
279,WOOSTER SCHOOL,91 MIRY BROOK ROAD,DANBURY,CT,6810,2
280,EPISCOPAL SCHOOL OF KNOXVILLE,950 EPISCOPAL SCHOOL WAY,KNOXVILLE,TN,37932,2
281,RICE UNIVERSITY NORTH SERVERY,6100 MAIN STREET,HOUSTON,TX,77005,1
282,RICE UNIVERSITY SOUTH SERVERY,6100 MAIN STREET,HOUSTON,TX,77005,1
283,RICE UNIVERSITY SEIBEL SERVERY,6100 MAIN STREET,HOUSTON,TX,77005,1
284,RICE UNIVERSITY WEST SERVERY,6100 MAIN STREET,HOUSTON,TX,77005,1
285,RICE UNIVERSITY BAKER COLLEGE KITCHEN,6100 MAIN STREET,HOUSTON,TX,77005,1
286,RICE UNIVERSITY SID RICHARDSON COLLEGE KITCHEN,6100 MAIN STREET,HOUSTON,TX,77005,1
287,THE NEW SCHOOL DINING COMMONS AT THE UNIVERSITY CENTER,65 5TH AVENUE,NEW YORK,NY,10011,3
288,COPPER CANYON GRILL,100 BOARDWALK PLACE,GAITHERSBURG,MD,20878,2
289,SPRINGSIDE CHESTNUT HILL ACADEMY -- CHEROKEE CAMPUS,8000 CHEROKEE STREET,PHILADELPHIA,PA,19118,3
290,SPRINGSIDE CHESTNUT HILL ACADEMY - WILLOW GROVE CAMPUS,500 WILLOW GROVE AVE,PHILADELPHIA,PA,19118,3
291,THE OBSTINATE DAUGHTER,2063 MIDDLE STREET,SULLIVANS ISLAND,SC,29482,3
292,KITCHEN SYNC,1609 LAURENS ROAD,GREENVILLE,SC,29606,4
293,DUNN SCHOOL,2555 W. HIGHWAY 154,LOS OLIVOS,CA,93441,3
294,AROOGAS ROUTE 696,105 W KING ST,SHIPPENSBURG,PA,17257,1
295,WHITNEY DINING AT UNIVERSITY OF CONNECTICUT,1346 STORRS ROAD,STORRS,CT,6269,3
296,GELFENBIEN COMMONS AT UNIVERSITY OF CONNECTICUT,3384 TOWERS LOOP ROAD,STORRS,CT,6269,3
297,PIEDMONT NORTH AT GEORGIA STATE UNIVERSITY,75 PIEDMONT AVE,ATLANTA,GA,30303,3
298,PATTON DINING HALL AT GEORGIA STATE UNIVERSITY,160 EDGEWOOD AVE NE,ATLANTA,GA,30303,3
299,CATHEY DINING COMMONS AT UNIVERSITY OF CHICAGO,6025 S. ELLIS AVENUE,CHICAGO,IL,60637,2
300,LOGAN CAFE AT UNIVERSITY OF CHICAGO,915 E. 60TH STREET,CHICAGO,IL,60637,2
301,NORTHGATE JUICE JOINT,215 UNIVERSITY DRIVE,COLLEGE STATION,TX,77841,3
302,CHIPOTLE MEXICAN GRILL AT SDSU,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,92182,2
303,JAMBO GRILL AT PITTSBURGH ZOO,ONE WILD PLACE,PITTSBURGH,PA,15206,3
304,NEW LEAF CAFE,561 VIRGINIA ROAD,CONCORD,MA,1742,3
305,VIA CAROTA,51 GROVE ST,NEW YORK,NY,10014,2
306,BUVETTE,42 GROVE ST,NEW YORK,NY,10014,2
307,EAST FOOD COURT AT UC IRVINE,C210 STUDENT CENTER,IRVINE,CA,92697,3
308,AROOGAS ROUTE 462,125 SOUTH CENTERVILLE ROAD,LANCASTER,PA,17603,1
310,OGGI'S PIZZA EXPRESS AT SDSU,5500 CAMPANILE DRIVE,SAN DIEGO,CA,92182,2
311,PEPPER'S ARTFUL EVENTS,43 HUDSON STREET,NORTHBOROUGH,MA,1532,3
313,THE BLACKBIRD,905 NORTH WASHINGTON STREET,SPOKANE,WA,99201,4
314,INTERCONTINENTAL MARK HOPKINS,999 CALIFORNIA ST,SAN FRANCISCO,CA,94108,3
315,SAVORY CATERING,5855 MAPLE AVENUE,DALLAS,TX,75235,1
316,BODY GLOVE CRUISES,75-5629 KUAKINI HIGHWAY,KAILUA KONA,HI,96740,2
317,RATHBONE AT LEHIGH UNIVERSITY,63 UNIVERSITY DRIVE,BETHLEHEM,PA,18015,2
318,BAMBOO SUSHI NORTHEAST,1409 N.E. ALBERTA STREET,PORTLAND,OR,97210,3
319,MONTRIO BISTRO,414 CALLE PRINCIPAL,MONTEREY,CA,93940,2
321,HUMMINGBIRD TEA ROOM & BAKERY,30420 FM 2978,THE WOODLANDS,TX,77354,1
322,&GRAIN,700 NORTH AVENUE,GARWOOD,NJ,7027,3
323,SHARPE REFECTORY AT BROWN UNIVERSITY,"BROWN UNIVERSITY, 144 THAYER ST",PROVIDENCE,RI,2906,3
324,VERNEY-WOOLLEY AT BROWN UNIVERSITY,"BROWN UNIVERSITY, 135 CUSHING STREET",PROVIDENCE,RI,2912,3
325,JOSIAH'S AT BROWN UNIVERSITY,"BROWN UNIVERSITY, 114 POWER STREET",PROVIDENCE,RI,2912,3
326,BLUE ROOM AT BROWN UNIVERSITY,"BROWN UNIVERSITY, 75 WATERMAN STREET",PROVIDENCE,RI,2912,2
327,ANDREWS COMMONS AT BROWN UNIVERSITY,211 BOWEN STREET,PROVIDENCE,RI,2912,2
328,MEDITERRA CLUBHOUSE,15755 CORSO MEDITERRA CIRCLE,NAPLES,FL,34110,2
329,MEDITERRA BEACH CLUB RESTAURANT,26110 HICKORY BLVD.,BONITA SPRINGS,FL,34134,2
330,MEDITERRA BANQUETS,15755 CORSO MEDITERRA CIRCLE,NAPLES,FL,34110,2
331,THE RED LENTIL,600 MOUNT AUBURN STREET,WATERTOWN,MA,2472,1
332,CAFE CROSSING AT NORTHEASTERN UNIVERSITY,364 HUNTINGTON AVE,BOSTON,MA,2115,2
334,PUTNAM REFECTORY AT UNIVERSITY OF CONNECTICUT,3384 TOWERS LOOP ROAD,STORRS,CT,6269,4
335,ROME COMMONS AT SOUTH AT UNIVERSITY OF CONNECTICUT,3384 TOWERS LOOP ROAD,STORRS,CT,6269,3
336,NOZ CATERING,97 SAINT MARKS PLACE,NEW YORK,NY,10009,2
337,DICKINSON COLLEGE DINING HALL,28 NORTH COLLEGE STREET,CARLISLE,PA,17013-2896,3
338,HOPE STREET PIZZA,772 HOPE STREET,PROVIDENCE,RI,2906,1
340,UNC CHAPEL HILL - 1.5.0,36 LENOIR HALL,CHAPEL HILL,NC,27599,3
341,UNC CHAPEL HILL - TOP OF LENOIR,36 LENOIR HALL,CHAPEL HILL,NC,27599,3
342,CHASE DINING HALL AT UNC CHAPEL HILL,104 RIDGE ROAD,CHAPEL HILL,NC,27599,3
343,HERTZ CORPORATE HEADQUARTERS CAFE,8501 WILLIAMS RD,ESTERO,FL,33928,4
344,JIMMY'S FAMOUS AMERICAN TAVERN BREA,3325 E. IMPERIAL HIGHWAY,BREA,CA,92823,1
345,MARKET FRESH AT MONTY'S MARKET EAST COMMON AT SDSU,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,,2
346,MARKET FRESH AT AZTEC UNION MARKET AT SDSU,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,,2
347,MARKET FRESH AT MONTY'S MARKET CUICACALLI AT SDSU,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,,2
348,MARKET FRESH AT AZTEC MARKET WEST COMMONS AT SDSU,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,,2
349,MARKET FRESH AT MONTY'S MARKET CHAPULTAPEC AT SDSU,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,,2
350,MCVTS PERTH AMBOY,457 HIGH STREET,PERTH AMBOY,NJ,8861,3
351,A MAIN EVENT CATERERS,3870 SOUTH FOUR MILE RUN DRIVE,ARLINGTON,VA,22204,1
352,THE FARM BARN CAFE,1112 DUKES PARKWAY WEST,HILLSBOROUGH,NJ,8844,4
353,GOOD CHOICE KITCHEN,147 MAIN STREET,OSSINING,NY,10562,4
354,FIRESIDE CAFE AT UNIVERSITY OF MICHIGAN,PIERPONT COMMONS UPPER LEVEL2101 BONISTEEL BLVD.,ANN ARBOR,MI,48109,1
355,UVA OHILL DINING ROOM,525 MCCORMICK ROAD,CHARLOTTESVILLE,VA,22094,3
356,UVA FINE ARTS CAFE,110 BAYLY DRIVE,CHARLOTTESVILLE,VA,22094,2
357,MARKET FRESH AT AZTEC MARKET 808 AT SDSU,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,,2
358,BAMBOO SUSHI SW,404 S.W. 12TH AVENUE,PORTLAND,OR,97205,3
359,CARMICHAEL AT TUFTS UNIVERSITY,200 PACKARD AVE.,MEDFORD,MA,,3
360,DEWICK-MACPHIE AT TUFTS UNIVERSITY,25 LATIN WAY,SOMERVILLE,MA,,3
361,COMMONS MARKETPLACE AT TUFTS UNIVERSITY,44 PROFESSORS ROW,SOMERVILLE,MA,,3
362,HODGDON ON-THE-RUN AT TUFTS UNIVERSITY,100 TALBOT AVE.,SOMERVILLE,MA,,3
363,HOTUNG CAFE AT TUFTS UNIVERSITY,44 PROFESSORS ROW,SOMERVILLE,MA,,3
364,MUGAR CAFE AT TUFTS UNIVERSITY,1 FLETCHER WAY,MEDFORD,MA,,3
365,PAT ET LOX AT TUFTS UNIVERSITY,44 PROFESSORS ROW,SOMERVILLE,MA,,3
366,TOWER CAFE AT TUFTS UNIVERSITY,35 PROFESSORS ROW,SOMERVILLE,MA,,3
367,CATERING AT TUFTS UNIVERSITY,1 FLETCHER WAY,MEDFORD,MA,,3
368,ACADEMY CAFE AT CALIFORNIA ACADEMY OF SCIENCES,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118,3
369,THE TERRACE AT CALIFORNIA ACADEMY OF SCIENCES,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118,3
370,EVENTS AT CALIFORNIA ACADEMY OF SCIENCES,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118,3
371,ROCKEFELLER MATHEY AT PRINCETON UNIVERSITY,UNIVERSITY PLACE,PRINCETON,NJ,8540,1
372,FORBES COLLEGE AT PRINCETON UNIVERSITY,ALEXANDER STREET,PRINCETON,NJ,8540,3
373,TIM HORTONS 2171,1655 18TH ST.,BRANDON,"MANITOBA, CANADA",R7A5C6,1
374,TIM HORTONS 2250,1845 MIDDLETON AVENUE,BRANDON,"MANITOBA, CANADA",R7C1A7,1
375,TIM HORTONS 2708,150 MCTAVISH AVENUE E,BRANDON,"MANITOBA, CANADA",R7A2B3,1
376,TIM HORTONS 3121,"2800 VICTORIA AVENUE, UNIT C",BRANDON,"MANITOBA, CANADA",R7B3X1,1
377,TIM HORTONS 3374,"400 FRONTAGE ROAD, BOX 1300",VIRDEN,"MANITOBA, CANADA",R0M2C0,1
378,TIM HORTONS 4369,"1570 18TH STREET, SHOPPERS MALL BRANDON",BRANDON,"MANITOBA, CANADA",R7A5C5,1
379,AROOGAS ROUTE 5,615 GREENWICH AVENUE,WARWICK,RI,2886,1
380,THE UNIVERSITY OF TEXAS AT DALLAS - DINING HALL WEST,2770 WATERVIEW PARKWAY,RICHARDSON,TX,75080,3
381,OSTERIA LEANA,76 SOUTH STREET,OYSTER BAY,NY,11771,1
382,THE REBEL MARKET AT UNIVERSITY OF MISSISSIPPI,144 JOHNSON COMMONS,UNIVERSITY,MS,38677,1
383,CATERING AT UNIVERSITY OF MISSISSIPPI,144 JOHNSON COMMONS,UNIVERSITY,MS,38677,1
384,LE BISTRO AT CULINARY INSTITUTE LENOTRE,7070 ALLENSBY STREET,HOUSTON,TX,77022,1
385,MCGAUVRAN DINING HALL AT UMASS LOWELL,71 WILDER STREET,LOWELL,MA,1854,3
386,MCMAHON DINING AT UNIVERSITY OF CONNECTICUT,2011 HILLSIDE ROAD,STORRS,CT,6269,3
387,AROOGAS 1 WEST MAIN,1 WEST MAIN STREET,PATCHOGUE,NY,11772,1
388,LENFEST CAFE AT COLUMBIA UNIVERSITY,"435 W 116TH STREET, 3RD FLOOR",NEW YORK,NY,10027,1
389,URIS DELI AT COLUMBIA UNIVERSITY,3022 BROADWAY,NEW YORK,NY,10027,1
390,BLUE JAVA COFFEE BAR BUTLER LIBRARY AT COLUMBIA UNIVERSITY,535 W 114TH STREET,NEW YORK,NY,10027,1
391,CAFE 212 AT COLUMBIA UNIVERSITY,"2920 BROADWAY, 2ND FLOOR CAMPUS LEVEL",NEW YORK,NY,10027,1
392,JOHN JAY DINING HALL AT COLUMBIA UNIVERSITY,515 W 114TH STREET,NEW YORK,NY,10027,1
393,FERRIS BOOTH AT COLUMBIA UNIVERSITY,"2920 BROADWAY, 3RD FLOOR",NEW YORK,NY,10027,1
394,BLUE JAVA CAFE MUDD HALL AT COLUMBIA UNIVERSITY,"500 W 120TH STREET, 4TH FLOOR",NEW YORK,NY,10027,1
395,JJ'S PLACE AT COLUMBIA UNIVERSITY,"515 W 114TH STREET, LOWER LEVEL",NEW YORK,NY,10027,1
396,ANCOLIE,58 WEST 8TH STREET,NEW YORK,NY,10003,4
