,Unnamed: 0,business_id,categories,name,review_count,stars,address,city,state,postal_code,latitude,longitude,text
0,156,jScBTQtdAt-8RshaiBEHgw,ETHNIC FOOD  AMERICAN (NEW)  BURGERS  FOOD  RESTAURANTS  ASIAN FUSION  SPECIALTY FOOD  MEXICAN  SANDWICHES  BREAKFAST & BRUNCH  KOREAN,SERVED,664,4.5,"1770 W HORIZON RIDGE, STE 100",HENDERSON,NV,89012,36.0107451,-115.0648029,
1,765,CGUK3cd2gxp2q3KPY19Oog,BREAKFAST & BRUNCH  RESTAURANTS  COFFEE & TEA  CAFES  FOOD,ROOTS CAFE,104,4.0,"2135 SOUTHEND DR, STE 109",CHARLOTTE,NC,28203,35.2065071258,-80.8602583075,
2,813,sMzNLdhJZGzYirIWt-fMAg,COCKTAIL BARS  ITALIAN  AMERICAN (NEW)  NIGHTLIFE  BARS  PIZZA  RESTAURANTS,SIENNA MERCATO,752,4.0,942 PENN AVE,PITTSBURGH,PA,15222,40.4439496,-79.9964366,
3,1060,eU_713ec6fTGNO4BegRaww,RESTAURANTS  ITALIAN  PIZZA,LA TAVOLA ITALIANA,132,3.5,1 BOGGS AVE,PITTSBURGH,PA,15211,40.42677929999999,-80.005652,
4,1240,1HD5iUUfVJDbfEBIn9yVhw,COFFEE & TEA  FOOD  BUBBLE TEA  JUICE BARS & SMOOTHIES,BOBA TEA HOUSE,340,4.0,2055 N DOBSON RD,CHANDLER,AZ,85224,33.3371772,-111.8753627,
5,1378,Mem13A3C202RzT53npn4NA,CATERERS  POLISH  EVENT PLANNING & SERVICES  RESTAURANTS,PIEROGIES PLUS,74,4.5,342 ISLAND AVE,MCKEES ROCKS,PA,15136,40.4688708,-80.0599363,
6,1564,CDpoJiqgM04wqQTZ6QkTqQ,NIGHTLIFE  BARS  RESTAURANTS  JAPANESE  SUSHI BARS  AMERICAN (NEW),SQUID INK,121,4.0,"7318 E SHEA BLVD, STE 101",SCOTTSDALE,AZ,85260,33.5822287,-111.9232574,
7,1975,ujHiaprwCQ5ewziu0Vi9rw,AMERICAN (NEW)  BUFFETS  RESTAURANTS,THE BUFFET AT BELLAGIO,4227,3.5,3600 S LAS VEGAS BLVD,LAS VEGAS,NV,89109,36.11322,-115.17689,
8,2084,6sATfFam9_q9uod0I2aCsg,CHINESE  RESTAURANTS  VEGETARIAN,WU TAI VEGETARIAN RESTAURANT,130,3.5,8425 WOODBINE AVENUE,MARKHAM,ON,L3R 2P4,43.847997,-79.356809,
9,2756,3fw2X5bZYeW9xCz_zGhOHg,FOOD  CHINESE  RESTAURANTS  DESSERTS,TRACY DESSERT,122,3.5,"3235 HIGHWAY 7 E, UNIT 29",MARKHAM,ON,L3R 3P9,43.8489358887,-79.3478012802,
10,2899,b2jN2mm9Wf3RcrZCgfo1cg,BREWERIES  EVENT PLANNING & SERVICES  PUBS  DISTILLERIES  VENUES & EVENT SPACES  BARS  FOOD  NIGHTLIFE,PORTSIDE,59,4.0,983 FRONT AVE,CLEVELAND,OH,44113,41.5014745427,-81.70323883430001,
11,3220,FBSWwaE6gR7KAOyG1QhakQ,BUTCHER  NIGHTLIFE  FOOD  AMERICAN (NEW)  RESTAURANTS  BARS  COCKTAIL BARS,BLOCK & GRINDER,223,4.0,2935 PROVIDENCE RD,CHARLOTTE,NC,28211,35.1705043185,-80.8066737533,
12,3680,anzCdD5eIEHwydTpXhLlUA,NIGHTLIFE  MUSIC VENUES  ARTS & ENTERTAINMENT  RESTAURANTS  BARS  LOUNGES  COCKTAIL BARS  HOT DOGS  PUBS,HAPPY DOG,614,4.0,5801 DETROIT AVE,CLEVELAND,OH,44102,41.4848615,-81.72649890000002,
13,4024,aNe8ofTYrealxqv7VtFTuw,PUBS  SPORTS BARS  PIZZA  NIGHTLIFE  FOOD  BREWERIES  AMERICAN (NEW)  BARS  RESTAURANTS,SIERRA GOLD,231,3.5,6515 S JONES BLVD,LAS VEGAS,NV,89118,36.0702792,-115.2249525,
14,4399,74C1z6cqEdvJVgETTcEodw,ARTS & ENTERTAINMENT  ITALIAN  HOTELS & TRAVEL  HOTELS  RESTAURANTS  EVENT PLANNING & SERVICES  BARS  CASINOS  WINE BARS  LOUNGES  NIGHTLIFE,PORTOFINO BY CHEF MICHAEL LAPLACA,287,4.0,3400 LAS VEGAS BLVD S,LAS VEGAS,NV,89109,36.121305,-115.175582,
15,4434,AakkkTuGZA2KBodKi2_u8A,ASIAN FUSION  RESTAURANTS  VIETNAMESE,PHO PHUONG,55,3.5,1603 DUNDAS STREET W,TORONTO,ON,M6K 1T9,43.6496743,-79.4351157,
16,4796,ZCsvwa_dsqNB8d8tYHPdjw,RESTAURANTS  PUBS  BARS  FISH & CHIPS  NIGHTLIFE,SIR EDMOND HALLEY'S,156,3.5,4151A PARK RD,CHARLOTTE,NC,28209,35.1750607,-80.8488936,
17,5289,5qG4UHurI1yEozwn25WAFw,DINERS  VENUES & EVENT SPACES  EVENT PLANNING & SERVICES  ARTS & ENTERTAINMENT  VEGETARIAN  AMERICAN (NEW)  MEDITERRANEAN  NIGHTLIFE  RESTAURANTS,BLACKOUT DINING IN THE DARK,300,4.0,"3871 S VALLEY VIEW BLVD, STE 8",LAS VEGAS,NV,89103,36.119787,-115.190605,
18,6134,ZNB91myFoOYgyXoG5LQeGQ,PIZZA  RESTAURANTS,ALFONSO'S RESTAURANTE & CATERING,22,2.0,7786 W 130TH ST,CLEVELAND,OH,44130,41.3516273,-81.78556590000002,
19,6495,vhIJ91MDgUuk4Cr9Kpj1Nw,FOOD  FAST FOOD  FOOD DELIVERY SERVICES  SANDWICHES  DELIS  RESTAURANTS,JIMMY JOHN'S,130,3.0,680 S MILL AVE,TEMPE,AZ,85281,33.423975,-111.940351,
20,6697,Sfc8Haz2Yri8Mo1L0E0TsA,CHICKEN WINGS  BURGERS  RESTAURANTS,CHICKEN BONZ,52,3.0,6530 S DECATUR BLVD,LAS VEGAS,NV,89118,36.071196,-115.207463,
21,7800,ikCg8xy5JIg_NGPx-MSIDA,BARS  PUBS  NIGHTLIFE  TAPAS BARS  RESTAURANTS,REGAL BEAGLE PUB,13,3.0,180 94 AVE SE,CALGARY,AB,T2J 3G8,50.9697213,-114.0701146,
22,8787,OVTZNSkSfbl3gVB9XQIJfw,AMERICAN (NEW)  BUFFETS  RESTAURANTS  AMERICAN (TRADITIONAL),CRAVINGS BUFFET,1367,3.0,3400 LAS VEGAS BLVD S,LAS VEGAS,NV,89109,36.121237,-115.174105,
23,9144,Gyrez6K8f1AyR7dzW9fvAw,RESTAURANTS  TAPAS BARS  MEDITERRANEAN  ITALIAN,CASANOVA,495,4.0,"3377 S LAS VEGAS BLVD, STE 2170",LAS VEGAS,NV,89109,36.1215792268,-115.1686638594,
24,9191,IMLrj2klosTFvPRLv56cng,CAFES  AMERICAN (NEW)  RESTAURANTS,HONEY SALT,1517,4.0,1031 S RAMPART BLVD,LAS VEGAS,NV,89145,36.160577,-115.292996,
25,9404,yNPh5SO-7wr8HPpVCDPbXQ,AMERICAN (NEW)  AMERICAN (TRADITIONAL)  BARS  VENUES & EVENT SPACES  EVENT PLANNING & SERVICES  STEAKHOUSES  GASTROPUBS  RESTAURANTS  SEAFOOD  BURGERS  NIGHTLIFE,THE ARROGANT BUTCHER,1972,4.0,"2 E JEFFERSON ST, STE 150",PHOENIX,AZ,85004,33.4473917315,-112.0728310466,
26,9511,jzveTy7ogH7cg9axZ78ENg,JAPANESE  RESTAURANTS,BAR KOYOI RESTAURANT NORTH YORK,14,3.0,5347 YONGE STREET,TORONTO,ON,M2N 7A1,43.7749233,-79.41424640000002,
27,10328,rBo_suDMdGmFQ0TtYg3b2Q,BARS  NIGHTLIFE  COCKTAIL BARS  DANCE CLUBS,OAK ROOM,33,2.0,200 E BLAND ST,CHARLOTTE,NC,28203,35.2162959,-80.8549333,
28,10508,dZVMp70AuSa4dQPvx3J4ow,RESTAURANTS  BURGERS,GOURMET BURGER,28,3.0,9 CHARLES STREET W,TORONTO,ON,M4Y 1R4,43.6685154,-79.3868092,
29,10969,6xgcHeLad-VaoTIQewK84A,SEAFOOD  STEAKHOUSES  AMERICAN (TRADITIONAL)  RESTAURANTS,N9NE STEAKHOUSE,838,4.0,4321 W FLAMINGO RD,LAS VEGAS,NV,89103,36.11475,-115.1941,
30,11411,dm6sO_Y8JdKTE1ZM955yug,WINE BARS  RESTAURANTS  BARS  THAI  NIGHTLIFE,CHADA THAI & WINE,464,4.5,"3400 S JONES BLVD, STE 11A",LAS VEGAS,NV,89146,36.1273748593,-115.2241710499,
31,12165,eoyvbnRYQe-z85e8Rc6vAg,ITALIAN  RESTAURANTS  BARS  NIGHTLIFE  AMERICAN (TRADITIONAL)  PIZZA  BEER  WINE & SPIRITS  FOOD,GROTTO RISTORANTE,500,4.0,129 E FREMONT ST,LAS VEGAS,NV,89101,36.1703149,-115.1448997,
32,12196,NyLYY8q1-H3hfsTwuwLPCg,FAST FOOD  VEGETARIAN  RESTAURANTS  VEGAN  INDIAN,CHOOLAAH INDIAN BBQ,535,4.5,27100 CHAGRIN BLVD,ORANGE VILLAGE,OH,44122,41.4615664,-81.4870631,
33,13537,z9aXGRH8xtqpNDFE5_I3KA,RESTAURANTS  BARS  NIGHTLIFE  AMERICAN (TRADITIONAL),THE BAR @ TROPICANA & DURANGO,86,4.0,"4705 S DURANGO, STE 140",LAS VEGAS,NV,89147,36.1032073,-115.27949479999998,
34,13744,6lj2BJ4tJeu7db5asGHQ4w,SANDWICHES  RESTAURANTS  SOUTHERN  CHICKEN WINGS,SLIM CHICKENS,106,3.0,2800 E GERMANN RD,CHANDLER,AZ,85286,33.278104,-111.7924641,
35,14482,8KmqWgL0UEdxJFwTZ_YZvQ,SANDWICHES  BURGERS  RESTAURANTS  FAST FOOD  AMERICAN (TRADITIONAL),SWENSONS DRIVE-IN,104,4.5,40 BROOKMONT RD,MONTROSE,OH,44333,41.1345883,-81.6397571,
36,15612,y-Iw6dZflNix4BdwIyTNGA,RESTAURANTS  FOOD  BREWERIES  GASTROPUBS  PIZZA,INDIE ALE HOUSE,235,4.0,2876 DUNDAS STREET W,TORONTO,ON,M6P 1Y9,43.6654413783,-79.4652382136,
37,15744,oSDyex506Y8H7YegcRb_9g,FOOD  GAS STATIONS  CONVENIENCE STORES  AUTOMOTIVE,SCOTTSDALE MINI MART,5,3.0,6842 E THOMAS RD,SCOTTSDALE,AZ,85251,33.4806003757,-111.9329579715,
38,16070,9nTF596jDvBBia2EXXiOOg,BUBBLE TEA  JUICE BARS & SMOOTHIES  TAIWANESE  COFFEE & TEA  RESTAURANTS  FOOD,I TEA CAFE,80,3.0,709 BELLEFONTE ST,PITTSBURGH,PA,15232,40.4521797,-79.93423359999998,
39,16238,I4Nr-MVc26qWr08-S3Q1ow,DELIS  SANDWICHES  PIZZA  RESTAURANTS,GREENBERG'S DELI,333,4.0,3790 LAS VEGAS BLVD S,LAS VEGAS,NV,89136,36.1023786,-115.1745465,
40,16301,5FIOXmUE3qMviX9GafGH-Q,VEGAN  RESTAURANTS  GLUTEN-FREE  VEGETARIAN,GREEN NEW AMERICAN VEGETARIAN,1199,4.5,2240 N SCOTTSDALE RD,TEMPE,AZ,85281,33.453786902,-111.9271659851,
41,16391,cHdJXLlKNWixBXpDwEGb_A,CARIBBEAN  SZECHUAN  MEXICAN  RESTAURANTS  CHINESE  NEW MEXICAN CUISINE  ASIAN FUSION  LATIN AMERICAN,CHINO BANDIDO,1600,4.0,"15414 N 19TH AVE, STE K",PHOENIX,AZ,85023,33.626831376,-112.1002996485,
42,16617,RbrZJEf8TlnP7RHaKnCtIQ,ICE CREAM & FROZEN YOGURT  FOOD,PICCADILLY ARTISAN YOGURT,93,4.0,1767 COVENTRY RD,CLEVELAND HEIGHTS,OH,44118,41.511518,-81.579665,
43,16973,3JxKzWquEbPC3yPIfoCiLw,RESTAURANTS  ASIAN FUSION,EEST ASIAN BISTRO,148,4.0,"3145 N DYSART RD, STE C102",AVONDALE,AZ,85392,33.481100714499995,-112.3393919783,
44,17151,YvrylyuWgbP90RgMqZQVnQ,SANDWICHES  RESTAURANTS  ITALIAN  PIZZA,JZ'S PIZZA,71,4.0,232 WELLINGTON STREET W,TORONTO,ON,M5V 3W1,43.6452767607,-79.3897039038,
45,17584,hcFSc0OHgZJybnjQBrL_8Q,VEGETARIAN  NOODLES  CHINESE  RESTAURANTS,EVERYDAY NOODLES,598,4.0,5875 FORBES AVE,PITTSBURGH,PA,15217,40.438262,-79.920082,
46,17588,FxLfqxdYPA6Z85PFKaqLrg,ITALIAN  SALAD  RESTAURANTS  GLUTEN-FREE,PAZZO,32,2.0,1614 WASHINGTON RD,PITTSBURGH,PA,15241,40.3526179,-80.0510699,
47,17698,m7ommfJFalI47UksyX04Iw,RESTAURANTS  MUSIC VENUES  ARTS & ENTERTAINMENT  NIGHTLIFE  BARBEQUE,THE PALOMINO,112,3.5,109 7 AVE SW,CALGARY,AB,T2P 0W5,51.0464663644,-114.0635331701,
48,17748,X5uxdU9GHoUAqo2wmbg3OQ,ASIAN FUSION  MALAYSIAN  ETHNIC FOOD  FOOD  SPECIALTY FOOD  THAI  SINGAPOREAN  CHINESE  RESTAURANTS,ISLAND MALAYSIAN CUISINE,265,4.0,"5115 SPRING MOUNTAIN RD, STE 217",LAS VEGAS,NV,89103,36.125592,-115.211199,
49,17865,zvO-PJCpNk4fgAVUnExYAA,SPORTS BARS  BARS  RESTAURANTS  AMERICAN (NEW)  NIGHTLIFE,FOX SPORTS GRILL,29,2.5,16203 N SCOTTSDALE RD,SCOTTSDALE,AZ,85254,33.6335183,-111.9247808,
50,17870,mRUVMJkUGxrByzMQ2MuOpA,RESTAURANTS  BREAKFAST & BRUNCH  BURGERS  AMERICAN (NEW)  SPORTS BARS  BARS  NIGHTLIFE,BEAST OF BOURBON BAR & GRILL,61,3.5,2235 S POWER RD,MESA,AZ,85209,33.37494760000001,-111.6870796,
51,17899,SU56w479vUfFHsvmvQIf7A,RESTAURANTS  INDIAN  PAKISTANI,INDIA OVEN,133,3.5,2218 PARADISE RD,LAS VEGAS,NV,89119,36.1446996,-115.1551759,
52,18033,N0apJkxIem2E8irTBRKnHw,SANDWICHES  PIZZA  SALAD  FOOD  BEER  WINE & SPIRITS  NIGHTLIFE  BARS  RESTAURANTS  HOTELS & TRAVEL  AMERICAN (NEW),WOLFGANG PUCK BAR & GRILL LAS VEGAS,1615,4.0,3799 LAS VEGAS BLVD S,LAS VEGAS,NV,89109,36.102543,-115.169884,
53,18253,dInxwF8kXVdfLEGTIBRrSw,RESTAURANTS  MEXICAN  BREAKFAST & BRUNCH,YOLIBERTO'S FRESH MEXICAN FOOD,19,3.5,80 WEST WARNER RD,CHANDLER,AZ,85225,33.335574,-111.843534,
54,18379,nDaW2hhQV5KYiGH7HzAOcg,ICE CREAM & FROZEN YOGURT  FOOD,RIPPLES,95,4.5,3880 BOULEVARD SAINT-LAURENT,MONTRÃ‰AL,QC,H2W 1Y2,45.5161089,-73.57769590000002,
55,18380,CZKkoMlqu0N0zCFK-3T_Fg,RESTAURANTS  AMERICAN (NEW),SPOON,313,4.0,134 S HIGHLAND AVE,PITTSBURGH,PA,15206,40.4600439843,-79.9252199797,
56,18406,EIL41z-hvVCeYHqfA9PyWQ,CUSTOM CAKES  AMERICAN (NEW)  BREAKFAST & BRUNCH  FOOD  GREEK  MEDITERRANEAN  CAFES  BAKERIES  PATISSERIE/CAKE SHOP  RESTAURANTS,EARLYBAKER,184,4.5,4025 E CHANDLER BLVD,PHOENIX,AZ,85048,33.303165,-111.995226,
57,18756,8mIrX_LrOnAqWsB5JrOojQ,PERFORMING ARTS  AMUSEMENT PARKS  MUSEUMS  ARCADES  ARTS & ENTERTAINMENT  ACTIVE LIFE  RESTAURANTS,PINBALL HALL OF FAME,1258,4.5,1610 E TROPICANA AVE,LAS VEGAS,NV,89119,36.1014493,-115.130511,
58,18777,YSUcHqlKMPHHJ_cTrqtNrA,ITALIAN  RESTAURANTS,VAGABONDO ITALIAN RISTORANTE+LOUNGE,77,3.0,32 WELLINGTON STREET E,TORONTO,ON,M5E 1C6,43.648404,-79.375469,
59,19040,qx6WhZ42eDKmBchZDax4dQ,PIZZA  ITALIAN  RESTAURANTS  DESSERTS  FOOD  SANDWICHES,CASANOVA BROTHERS PIZZA,943,4.5,959 N VAL VISTA DR,GILBERT,AZ,85234,33.3677082,-111.7558301,
60,19097,d_L-rfS1vT3JMzgCUGtiow,BREAKFAST & BRUNCH  RESTAURANTS  TAPAS/SMALL PLATES  MEXICAN,BORDER GRILL,1623,4.0,3950 S LAS VEGAS BLVD,LAS VEGAS,NV,89119,36.0900669068,-115.17697289739999,
